SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3259,66,47,"Chairs Repairs",NULL,NULL,NULL
3260,81,47,"Black Leather",NULL,NULL,NULL
3261,300,47,"Grace flowers",NULL,NULL,NULL
3262,113,47,"All the buses",NULL,NULL,NULL
3263,79,47,"printer Repairs",NULL,NULL,NULL
3264,177,47,"supplies and management ltd",NULL,NULL,NULL
3265,323,47,"Evans books supplied",NULL,NULL,NULL
3266,324,47,"Gulf educational publishing limited",NULL,NULL,NULL
3296,332,47,"Learning Aids",NULL,NULL,NULL
3297,89,47,"Gideon Ohioze",NULL,NULL,NULL
3298,113,47,"Generator Repairs",NULL,NULL,NULL
3299,113,47,"Pannel Beater ABC219AA",NULL,NULL,NULL
3300,333,47,"plates and spoons",NULL,NULL,NULL
3301,94,47,"Roof Repairs",NULL,NULL,NULL
3302,137,47,"Repairs and Replacement",NULL,NULL,NULL
3303,137,47,"vehicle Renewal",NULL,NULL,NULL
3304,83,47,"Jolly phonics ",NULL,NULL,NULL
3305,92,47,"Inspection VECAS",NULL,NULL,NULL
3306,81,47,"uniform for staff",NULL,NULL,NULL
3307,143,47,"fancap Repairs",NULL,NULL,NULL
3308,137,47,"Fancap Repairs",NULL,NULL,NULL
3309,137,47,"fancap workmanship",NULL,NULL,NULL
3310,94,47,"Repairs of gold post",NULL,NULL,NULL
3311,98,47,"fire extinquisher",NULL,NULL,NULL
3312,93,47,"health officer",NULL,NULL,NULL
3313,102,47,"Tax PAYE month of  september",NULL,NULL,NULL
3314,102,47,"PAYE octorber",NULL,NULL,NULL
3315,102,47,"PAYE November",NULL,NULL,NULL
3316,102,47,"PAYE December",NULL,NULL,NULL
3317,334,47,"Watering cane",NULL,NULL,NULL
3318,68,47,"hydrogen and spirit",NULL,NULL,NULL
3319,90,47,"mr. stephen salary",NULL,NULL,NULL
3320,63,47,"AA RANO",NULL,NULL,NULL
3321,79,47,"Typing expenses",NULL,NULL,NULL
3322,90,47,"other salaries",NULL,NULL,NULL
3330,137,47,"Tube fixing",NULL,NULL,NULL
3331,90,47,"August ",NULL,NULL,NULL
3332,90,47,September,NULL,NULL,NULL
3333,90,47,Octorber,NULL,NULL,NULL
3334,90,47,November,NULL,NULL,NULL
3494,137,47,"key starter",NULL,NULL,NULL
3492,418,47,"All the buses",NULL,NULL,NULL
3493,137,47,"Battery Repairs",NULL,NULL,NULL
3501,137,47,"Fuel pump ",NULL,NULL,NULL
3521,137,47,"Fan Belt",NULL,NULL,NULL
3522,137,47,compressor,NULL,NULL,NULL
